Index,Article,Swedish Word,English Meaning,Part of Speech,Swedish Sentence,
686,en,erfarenhet,experience,noun,Hon har lång erfarenhet.,She has long experience.
687,en,kritik,criticism,noun,Förslaget fick mycket kritik.,The proposal received a lot of criticism.
688,en,grad,degree,noun,Det är tjugo grader ute.,It is twenty degrees outside.
689,en,jude,Jew,noun,Han är jude.,He is a Jew.
690,,vacker,beautiful,adjective,Vilken vacker utsikt!,What a beautiful view!
691,att,erbjuda,to offer,verb,De erbjuder en bra lön.,They offer a good salary.
692,en,kamp,"fight, struggle",noun,Det är en kamp för frihet.,It is a struggle for freedom.
693,en,period,period,noun,Det var en svår period.,It was a difficult period.
694,,modern,modern,adjective,Det är ett modernt hus.,It is a modern house.
695,en,spelare,player,noun,Han är en bra spelare.,He is a good player.
696,en,elev,"pupil, student",noun,Klassen har trettio elever.,The class has thirty pupils.
697,en,utredning,"investigation, inquiry",noun,Polisen inledde en utredning.,The police started an investigation.
698,att,ingå,to be included; to enter into,verb,Frukost ingår i priset.,Breakfast is included in the price.
699,en,kung,king,noun,Sverige har en kung.,Sweden has a king.
700,att,bestå,to consist; to last,verb,Gruppen består av fem personer.,The group consists of five people.
701,en,katt,cat,noun,Katten sover på soffan.,The cat is sleeping on the sofa.
702,att,konstatera,"to state, establish, note",verb,Läkaren konstaterade att allt var bra.,The doctor stated that everything was fine.
703,,dit,there (to there),adverb,Hur kommer jag dit?,How do I get there?
704,,klart,clearly; of course,adverb,Klart att jag hjälper dig.,Of course I'll help you.
705,,nuvarande,"current, present",adjective,Den nuvarande regeringen är ny.,The current government is new.
706,att,styra,"to steer, govern, control",verb,Vem styr landet?,Who governs the country?
707,att,förlora,to lose,verb,Vi får inte förlora matchen.,We must not lose the match.
708,,vit,white,adjective,Han har en vit skjorta.,He has a white shirt.
709,en,klocka,"clock, watch; bell",noun,Klockan är tre.,It is three o'clock.
710,att,påstå,"to claim, assert",verb,Han påstår att han var hemma.,He claims he was at home.
711,en,skatt,tax; treasure,noun,Vi betalar skatt varje år.,We pay taxes every year.
712,att,besluta,to decide,verb,Riksdagen beslutade om en ny lag.,The parliament decided on a new law.
713,en,befolkning,population,noun,Stadens befolkning växer.,The city's population is growing.
714,att,avse,to intend; to refer to,verb,Vad avser du med det?,What do you mean by that?
715,en,ro,"calm, peace",noun,Jag behöver lugn och ro.,I need peace and quiet.
716,,privat,private,adjective,Det är en privat fråga.,It is a private matter.
717,ett,steg,step,noun,Ta ett steg framåt.,Take a step forward.
718,en,art,species; kind,noun,Det är en sällsynt art.,It is a rare species.
719,att,stödja,to support,verb,Vi stödjer ditt förslag.,We support your proposal.
720,,ond,evil; painful,adjective,Häxan är ond.,The witch is evil.
721,en,plan,plan; plane (level),noun,Vi har en bra plan.,We have a good plan.
722,en,resa,"trip, journey",noun,Vi planerar en lång resa.,We are planning a long trip.
723,,utom,except,preposition,Alla kom utom Anna.,Everyone came except Anna.
724,en,hund,dog,noun,Hunden skäller.,The dog is barking.
725,en,syn,"sight, vision; view",noun,Hennes syn är dålig.,Her eyesight is poor.
726,att,glömma,to forget,verb,Glöm inte nycklarna.,Don't forget the keys.
727,ett,avtal,"agreement, contract",noun,Vi skrev under ett avtal.,We signed an agreement.
728,en,lek,"game, play",noun,Barnen leker en rolig lek.,The children are playing a fun game.
729,,kul,fun,adjective,Det var kul att se dig.,It was fun to see you.
730,en,natt,night,noun,God natt!,Good night!
731,att,förändra,to change,verb,Vi vill förändra världen.,We want to change the world.
732,att,ange,"to state, indicate, give",verb,Ange ditt namn och adress.,State your name and address.
733,,någonting,something,pronoun,Vill du ha någonting att dricka?,Do you want something to drink?
733s,,nånting,something [spoken],pronoun,Vill du ha nånting att dricka?,Do you want something to drink?
734,,förstås,of course,adverb,Det är förstås sant.,It is of course true.
735,en,individ,individual,noun,Varje individ är viktig.,Every individual is important.
736,att,älska,to love,verb,Jag älskar dig.,I love you.
737,en,motion,exercise; (parliamentary) motion,noun,Daglig motion är bra.,Daily exercise is good.
738,,glad,"happy, glad",adjective,Jag är glad att se dig.,I am glad to see you.
739,,ned,down,particle,Han föll ned från stegen.,He fell down from the ladder.
740,en,dator,computer,noun,Min dator är långsam.,My computer is slow.
741,en,miljö,environment,noun,Vi måste skydda miljön.,We must protect the environment.
742,en,ek,oak,noun,Eken är ett stort träd.,The oak is a big tree.
743,,åtminstone,at least,adverb,Vänta åtminstone en timme.,Wait at least an hour.
744,att,presentera,"to present, introduce",verb,Får jag presentera min vän?,May I introduce my friend?
745,att,stanna,"to stop, stay",verb,Bussen stannar här.,The bus stops here.
746,att,byta,"to change, swap",verb,Jag vill byta tröja.,I want to change my sweater.
747,ett,alternativ,"alternative, option",noun,Finns det ett annat alternativ?,Is there another option?
748,en,minut,minute,noun,Vänta en minut.,Wait a minute.
749,,ingenting,nothing,pronoun,Det hände ingenting.,Nothing happened.
750,att,uppleva,to experience,verb,Vi vill uppleva nya saker.,We want to experience new things.
751,att,samla,"to gather, collect",verb,Hon samlar på frimärken.,She collects stamps.
752,,svart,black,adjective,Han har en svart bil.,He has a black car.
753,en,bakgrund,background,noun,Berätta om din bakgrund.,Tell me about your background.
754,ett,skott,shot,noun,Vi hörde ett skott.,We heard a shot.
755,en,ö,island,noun,De bor på en liten ö.,They live on a small island.
756,en,kärlek,love,noun,Kärlek är viktigt.,Love is important.
757,en,metod,method,noun,Det är en effektiv metod.,It is an effective method.
758,,äldre,"older, elderly",adjective,Min äldre bror bor i Lund.,My older brother lives in Lund.
759,,säker,"sure, safe, certain",adjective,Är du säker?,Are you sure?
760,en,borgare,bourgeois; townsman,noun,Han är en typisk borgare.,He is a typical bourgeois.
761,en,gud,god,noun,De tror på en gud.,They believe in a god.
762,en,insats,"effort, contribution; stake",noun,Det krävs en stor insats.,A great effort is required.
763,,tysk,German,adjective,Det är en tysk bil.,It is a German car.
764,en,kontroll,control; check,noun,Allt är under kontroll.,Everything is under control.
765,att,lösa,to solve,verb,Kan du lösa problemet?,Can you solve the problem?
766,att,kolla,"to check, look",verb,Kolla på det här!,Check this out!
767,att,fylla,to fill; to turn (age),verb,Fyll glaset med vatten.,Fill the glass with water.
768,en,bestämmelse,"provision, regulation",noun,Det finns en ny bestämmelse.,There is a new regulation.
769,ett,ris,rice,noun,Jag äter ris till middag.,I eat rice for dinner.
770,att,drabba,"to hit, affect, strike",verb,Stormen drabbade hela landet.,The storm hit the whole country.
771,ett,nät,net; network,noun,Fiskaren kastar ut nätet.,The fisherman casts the net.
772,en,teknik,technology; technique,noun,Ny teknik förändrar världen.,New technology changes the world.
773,en,resurs,resource,noun,Vatten är en viktig resurs.,Water is an important resource.
774,ett,försök,"attempt, try",noun,Det var ett bra försök.,It was a good attempt.
775,att,fara,"to go, travel; (danger)",verb,Vi far till landet imorgon.,We are going to the countryside tomorrow.
776,att,tjäna,to earn; to serve,verb,Hon tjänar bra med pengar.,She earns good money.
777,ett,argument,argument (point),noun,Han har ett starkt argument.,He has a strong argument.
778,att,behandla,to treat; to deal with,verb,Läkaren behandlar patienten.,The doctor treats the patient.
779,,ren,clean; pure,adjective,Rummet är rent.,The room is clean.
780,en,fru,"wife; Mrs., madam",noun,Hans fru heter Anna.,His wife is named Anna.
781,,sjuk,"sick, ill",adjective,Jag är sjuk idag.,I am sick today.
782,,istället för,instead of (also: i stället för),preposition,Ta vatten istället för läsk.,Have water instead of soda.
783,ett,våld,violence,noun,Vi accepterar inte våld.,We do not accept violence.
784,att,utföra,"to carry out, perform",verb,Han utför sitt arbete väl.,He performs his work well.
785,en,ställning,"position, stance; stand",noun,Vad är din ställning i frågan?,What is your position on the issue?
786,,främst,"primarily, above all",adverb,Det handlar främst om pengar.,It is primarily about money.
787,att,räcka,"to be enough; to reach, pass",verb,Pengarna räcker inte.,The money is not enough.
788,,bättre,better,adverb,Idag mår jag bättre.,Today I feel better.
789,att,fundera,"to ponder, think (about)",verb,Jag måste fundera på saken.,I have to think about the matter.
790,,visst,"surely, certainly; sure",adverb,Visst kan du komma!,"Sure, you can come!"
791,en,sommar,summer,noun,Vi reser i sommar.,We are traveling this summer.
792,en,rörelse,movement; motion,noun,Det är en politisk rörelse.,It is a political movement.
793,en,kund,customer,noun,Kunden har alltid rätt.,The customer is always right.
794,ett,villkor,"condition, term",noun,Läs villkoren noga.,Read the terms carefully.
795,,tillbaka,back,adverb,Hon kom tillbaka sent.,She came back late.
795s,,tillbaks,back [vardagligt],adverb,Hon kom tillbaks sent.,She came back late.
796,,högt,high(ly); loudly,adverb,Tala högt.,Speak loudly.
797,en,president,president,noun,Landet får en ny president.,The country gets a new president.
798,,emellertid,however,adverb,Det regnade. Emellertid gick vi ut.,"It rained. However, we went out."
799,en,händelse,"event, occurrence",noun,Det var en oväntad händelse.,It was an unexpected event.
800,att,uppstå,"to arise, occur",verb,Det kan uppstå problem.,Problems may arise.
801,att,acceptera,to accept,verb,Jag accepterar ditt förslag.,I accept your proposal.
802,ett,huvud,head,noun,Jag har ont i huvudet.,I have a headache.
803,ett,sök,search,noun,Gör ett sök på nätet.,Do a search on the net.
804,,snabb,"fast, quick",adjective,Det är en snabb bil.,It is a fast car.
805,,så kallad,so-called (abbr. s.k.),adverb,Det är en så kallad smart telefon.,It is a so-called smartphone.
806,,framför,in front of,preposition,Bilen står framför huset.,The car is in front of the house.
807,en,ande,spirit,noun,Det är en god ande.,It is a good spirit.
808,att,bilda,"to form, create",verb,De vill bilda ett nytt parti.,They want to form a new party.
809,en,orsak,"cause, reason",noun,Vad är orsaken till branden?,What is the cause of the fire?
810,att,försvinna,to disappear,verb,Mina nycklar försvann.,My keys disappeared.
811,ett,fel,"mistake, error, fault",noun,Det var mitt fel.,It was my fault.
812,ett,innehåll,content(s),noun,Bokens innehåll är intressant.,The book's content is interesting.
813,en,natur,nature,noun,Jag älskar naturen.,I love nature.
814,ett,begrepp,"concept, term",noun,Det är ett svårt begrepp.,It is a difficult concept.
815,,för att,in order to; because,subjunction,Jag sparar för att resa.,I'm saving in order to travel.
816,en,konflikt,conflict,noun,Det blev en konflikt mellan dem.,A conflict arose between them.
817,,tack,thanks,interjection,Tack för hjälpen!,Thanks for the help!
818,ett,djur,animal,noun,Vilket djur gillar du?,Which animal do you like?
819,en,chans,chance,noun,Ge mig en chans.,Give me a chance.
820,,samtidigt som,"at the same time as, while",subjunction,Han läste samtidigt som han åt.,He read while he ate.
821,,demokratisk,democratic,adjective,Det var ett demokratiskt beslut.,It was a democratic decision.
822,,fel,wrong(ly),adverb,Du gjorde fel.,You did it wrong.
823,ett,läge,situation; position,noun,Vad är läget?,What's the situation?
824,att,sprida,to spread,verb,Nyheten spred sig snabbt.,The news spread quickly.
825,en,växt,plant; growth,noun,Det är en grön växt.,It is a green plant.
826,,förutom,"besides, except",preposition,Förutom jobbet studerar hon.,"Besides her job, she studies."
827,,i samband med,in connection with,preposition,Det hände i samband med mötet.,It happened in connection with the meeting.
828,,styck,"piece, each",noun,Äpplena kostar fem kronor styck.,The apples cost five kronor each.
829,ett,utskott,committee,noun,Frågan behandlas i utskottet.,The matter is dealt with in the committee.
830,en,muslim,Muslim,noun,Han är muslim.,He is a Muslim.
831,en,ordning,order,noun,Allt är i ordning.,Everything is in order.
832,ett,uppdrag,"assignment, mission, task",noun,Hon fick ett viktigt uppdrag.,She was given an important assignment.
833,en,mark,"ground, land",noun,Marken är blöt.,The ground is wet.
834,en,säkerhet,"safety, security; certainty",noun,Säkerheten är viktig.,Safety is important.
835,en,linje,line,noun,Stå på den gula linjen.,Stand on the yellow line.
836,en,bank,bank,noun,Jag går till banken.,I'm going to the bank.
837,att,önska,to wish,verb,Jag önskar dig lycka till.,I wish you good luck.
838,,givetvis,"of course, naturally",adverb,Givetvis kommer jag.,Of course I'll come.
839,en,studie,study,noun,Det är en intressant studie.,It is an interesting study.
840,en,fredag,Friday,noun,Vi ses på fredag.,See you on Friday.
841,en,lärare,teacher,noun,Min lärare är snäll.,My teacher is kind.
842,,statlig,"state, governmental",adjective,Det är en statlig myndighet.,It is a state authority.
842s,,statli,"state, governmental [g silent]",adjective,Det är en statli myndighet.,It is a state authority.
843,en,söndag,Sunday,noun,På söndag vilar vi.,On Sunday we rest.
844,,fel,"wrong, incorrect",adjective,Det är fel svar.,It is the wrong answer.
845,,speciellt,especially,adverb,Det är inte speciellt dyrt.,It is not especially expensive.
846,,röd,red,adjective,Hon har en röd klänning.,She has a red dress.
847,en,television,"television (also: teve, tv)",noun,Vi tittar på television.,We are watching television.
848,ett,hot,threat,noun,Det är ett allvarligt hot.,It is a serious threat.
849,ett,verk,"work (of art); plant, mill",noun,Det är ett stort konstverk.,It is a great work of art.
850,att,publicera,to publish,verb,Tidningen publicerade artikeln.,The newspaper published the article.
851,en,stund,"moment, while",noun,Vänta en stund.,Wait a moment.
852,att,tillhöra,to belong to,verb,Boken tillhör mig.,The book belongs to me.
853,att,omfatta,"to comprise, cover, include",verb,Kursen omfattar tio veckor.,The course covers ten weeks.
854,ett,material,material,noun,Vi behöver mer material.,We need more material.
855,en,pelare,"pillar, column",noun,Templet har många pelare.,The temple has many pillars.
856,ett,hjärta,heart,noun,Hennes hjärta slår snabbt.,Her heart is beating fast.
857,,knappast,hardly,adverb,Det kommer knappast att regna.,It will hardly rain.
858,att,befinna,to be located (refl. befinna sig),verb,Vi befinner oss i centrum.,We are located in the center.
859,en,part,party (in a matter),noun,Båda parter är nöjda.,Both parties are satisfied.
860,,trevlig,"nice, pleasant",adjective,Han är en trevlig person.,He is a nice person.
861,en,höst,"autumn, fall",noun,Löven faller på hösten.,The leaves fall in autumn.
862,att,skilja,"to separate, distinguish",verb,Det är svårt att skilja dem åt.,It is hard to tell them apart.
863,,ens,even,adverb,Han svarade inte ens.,He didn't even answer.
864,en,förmåga,ability,noun,Hon har en stor förmåga att lära.,She has a great ability to learn.
865,att,döda,to kill,verb,Man får inte döda.,One must not kill.
866,ett,stånd,"stand, stall; estate (class)",noun,De hade ett stånd på marknaden.,They had a stall at the market.
867,att,peka,to point,verb,Han pekade på kartan.,He pointed at the map.
868,en,bedömning,"assessment, judgment",noun,Det är min bedömning.,That is my assessment.
869,att,ringa,"to call, ring",verb,Jag ringer dig imorgon.,I'll call you tomorrow.
870,att,betrakta,"to regard, consider; to observe",verb,Jag betraktar honom som en vän.,I regard him as a friend.
871,en,by,village,noun,De bor i en liten by.,They live in a small village.
872,,utifrån,"based on, from",preposition,Vi dömer utifrån fakta.,We judge based on facts.
873,en,brist,"lack, shortage",noun,Det är brist på vatten.,There is a shortage of water.
874,att,hänga,to hang,verb,Tavlan hänger på väggen.,The painting hangs on the wall.
875,,tillräckligt,"enough, sufficiently",adverb,Har vi tillräckligt med tid?,Do we have enough time?
875s,,tillräcklit,"enough, sufficiently [g silent]",adverb,Har vi tillräcklit med tid?,Do we have enough time?
876,en,måndag,Monday,noun,På måndag börjar jobbet.,On Monday work begins.
877,,aktuell,"current, relevant, topical",adjective,Det är en aktuell fråga.,It is a topical issue.
878,,någonsin,ever,adverb,Har du någonsin varit i Paris?,Have you ever been to Paris?
878s,,nånsin,ever [vardagligt],adverb,Har du nånsin varit i Paris?,Have you ever been to Paris?
879,att,tillåta,"to allow, permit",verb,Föräldrarna tillåter det inte.,The parents don't allow it.
880,ett,universitet,university,noun,Hon studerar vid universitetet.,She studies at the university.
881,en,konsekvens,consequence,noun,Det får allvarliga konsekvenser.,It has serious consequences.
882,ett,ställe,"place, spot",noun,Det är ett fint ställe.,It is a nice place.
883,,hård,"hard, tough",adjective,Stolen är hård.,The chair is hard.
884,en,majoritet,majority,noun,En majoritet röstade ja.,A majority voted yes.
885,en,domstol,court (of law),noun,Fallet avgörs i domstol.,The case is decided in court.
886,en,ordförande,chairperson,noun,Hon är ordförande i föreningen.,She is the chairperson of the association.
887,en,lördag,Saturday,noun,På lördag har vi fest.,On Saturday we have a party.
888,en,låt,"song, tune",noun,Det är min favoritlåt.,It is my favorite song.
889,,herr,"Mr., sir",noun,"God morgon, herr Andersson.","Good morning, Mr. Andersson."
890,en,sekvens,sequence,noun,Det är en lång sekvens.,It is a long sequence.
891,att,förekomma,"to occur, exist",verb,Fel kan förekomma.,Errors may occur.
892,att,stoppa,to stop; to stuff,verb,Polisen stoppade bilen.,The police stopped the car.
893,en,nyhet,(piece of) news; novelty,noun,Det är en glad nyhet.,It is happy news.
894,en,journalist,journalist,noun,Hon är journalist på en tidning.,She is a journalist at a newspaper.
895,en,kris,crisis,noun,Landet är i kris.,The country is in crisis.
896,att,rycka,"to jerk, pull, snatch",verb,Han ryckte i dörren.,He jerked at the door.
897,att,trycka,to press; to print,verb,Tryck på knappen.,Press the button.
898,,betydligt,"considerably, significantly",adverb,Det är betydligt billigare.,It is considerably cheaper.
898s,,betydlit,"considerably, significantly [g silent]",adverb,Det är betydlit billigare.,It is considerably cheaper.
899,att,kosta,to cost,verb,Hur mycket kostar det?,How much does it cost?
900,ett,band,band; tape; ribbon,noun,De spelar i ett band.,They play in a band.
901,,numera,nowadays (also: numer),adverb,Numera bor jag i Stockholm.,Nowadays I live in Stockholm.
902,ett,tillstånd,"permit, permission; condition",noun,Du behöver tillstånd.,You need a permit.
903,,värd,worth,adjective,Det är värt mycket pengar.,It is worth a lot of money.
904,,igen,again,particle,Försök igen.,Try again.
905,,imorgon,tomorrow (also: i morgon),adverb,Vi ses imorgon.,See you tomorrow.
906,en,klass,class,noun,Hon går i femte klass.,She is in fifth grade.
907,att,uttrycka,to express,verb,Hur ska jag uttrycka det?,How should I express it?
908,en,slutsats,conclusion,noun,Vad är din slutsats?,What is your conclusion?
909,,global,global,adjective,Det är ett globalt problem.,It is a global problem.
910,,mitt,in the middle,adverb,Han stod mitt i rummet.,He stood in the middle of the room.
911,en,stol,chair,noun,Sätt dig på stolen.,Sit down on the chair.
912,,ytterligare,"further, additional",adjective,Vi behöver ytterligare hjälp.,We need additional help.
913,,effektiv,"effective, efficient",adjective,Det är en effektiv metod.,It is an effective method.
